28,Ronald Basily Smirnoff,3,5,5,5,5,5,Lithuania
29,Rufus Paul Isaac,3,5,5,5,4,4,Iran
30,Josh Johnstone,2,5,3,3,3,3,Nigeria
31,Chuck Lee Todd,2,4,3,2,2,1,Belgium
32,Wade Jay Bradshaw,2,3,4,4,4,1,Haiti
33,Bryon Jackson,3,5,5,4,4,4,Dominica
34,Percy Thomas Robertson,2,3,4,3,3,2,Luxembourg
35,David Louis Verdon,2,4,3,3,3,3,Malaysia
36,Jayden Cuu Andersson,2,5,5,5,5,5,United Kingdom
37,Abdul Azim Harris,3,4,4,4,3,2,Norway
38,Alexander  Butler,2,2,2,2,1,1,Estonia
39,Michael Jan Ianson,2,1,1,2,1,2,Maldives
40,Javier Ricardo Hall,3,4,3,3,2,1,Madagascar
41,Ryan  Dickson,3,3,3,2,2,1,Japan
42,Gabriel Nicholson Waterson,3,3,2,2,1,1,Nicaragua
